InNum,CallDateTime,Address,AptLot,geox,geoy,ExtNatureDisplayName,Report,PolArea,DOW,Hour
2018069999,"4/10/2018 5:21:58 AM","301 NEBRASKA AVE","          ",1687826.63,1140896.88,"AUTO THEFT",2018003762,"20E ",Tuesday,05
2018069997,"4/10/2018 4:48:40 AM","2661 TRIMBLE RD","          ",1698088.88,1134302.88,"LAW ALARM",,"80N ",Tuesday,04
2018069996,"4/10/2018 4:43:15 AM","5612-41 E ST CHARLES RD","          ",1710875.63,1139069.5,"SUSPICIOUS INCIDENT",,"40E ",Tuesday,04
2018069995,"4/10/2018 4:40:19 AM","800-BLK S FAIRVIEW RD","          ",1674303,1133595.13,"SHOTS HEARD",,"50W ",Tuesday,04
2018069992,"4/10/2018 3:45:22 AM","W SEXTON RD/W BUSINESS LOOP 70","          ",1683297.75,1140723.38,"TRAFFIC STOP",,"20W ",Tuesday,03
2018069991,"4/10/2018 3:34:49 AM","722-100 W SEXTON RD","          ",1683370,1140191.38,TRESPASSING,,"20W ",Tuesday,03
2018069990,"4/10/2018 3:30:16 AM","2709-150 E BROADWAY","          ",1698330.38,1134024.38,"911 CHECKS",,"80S ",Tuesday,03
2018069988,"4/10/2018 3:07:01 AM","1203-A ELLETA BLVD","          ",1691087,1144090.88,"SUSPICIOUS VEHICLE",,"30S ",Tuesday,03
2018069987,"4/10/2018 2:44:26 AM","1200-BLK GRINDSTONE PKWY","          ",1690566.75,1120558.38,"TRAFFIC HAZARD",,"60E ",Tuesday,02
2018069986,"4/10/2018 2:41:14 AM","500 SCOTT BLVD","          ",1669174.13,1135055.75,"CHECK THE WELFARE",,"50W ",Tuesday,02
2018069985,"4/10/2018 2:39:26 AM","113-A W ASH ST","          ",1685838.13,1136390.75,"ASSIST FIRE",,"50E ",Tuesday,02
2018069981,"4/10/2018 2:32:36 AM","1410-BLK BASS AVE","          ",1691691.38,1134456.25,TRAFFIC,,"70  ",Tuesday,02
2018069977,"4/10/2018 2:15:10 AM","2203 THOMAS DR","          ",1695722.75,1145418.75,"SUSPICIOUS INCIDENT",,"30S ",Tuesday,02
2018069975,"4/10/2018 2:08:54 AM","701-102 CLAUDELL LN","          ",1678792.25,1139317.25,DISTURBANCE,,"10W ",Tuesday,02
2018069974,"4/10/2018 2:01:45 AM","5223 TESSA WAY","          ",1685264,1113782.5,"PARKING VIOLATION",,"60W ",Tuesday,02
2018069971,"4/10/2018 1:49:12 AM","3110 CLARK LN","          ",1699900.25,1139686.75,"LAW ALARM",,"40W ",Tuesday,01
2018069967,"4/10/2018 1:31:24 AM","2709-300 E BROADWAY","          ",1698282.75,1134041.5,"911 CHECKS",,"80S ",Tuesday,01
2018069964,"4/10/2018 1:20:14 AM","4609 WESTFIELD LN","          ",1680854,1116883.5,HARASSMENT,,"60W ",Tuesday,01
2018069959,"4/10/2018 1:06:00 AM","1001-100 E WALNUT ST","          ",1689813,1135833.63,TRESPASSING,,"70D ",Tuesday,01
2018069958,"4/10/2018 1:05:49 AM","E BROADWAY/N FIFTH ST","          ",1688215.38,1135417.25,"ASSIST CITIZEN",,"70D ",Tuesday,01
2018069947,"4/10/2018 12:38:47 AM","I70 E/CONNECTOR","          ",1699516.5,1139089,"ASSIST OFFICER",18001636,"40W ",Tuesday,00
2018069944,"4/10/2018 12:37:27 AM","1201 PAQUIN ST","          ",1690631.38,1134066,HARASSMENT,2018003760,"70  ",Tuesday,00
2018069943,"4/10/2018 12:31:38 AM","N OLD 63/GORDON ST","          ",1694366,1138927.63,"TRAFFIC STOP",,"80N ",Tuesday,00
2018069942,"4/10/2018 12:31:07 AM","206 S COLLEGE AVE","          ",1691121.5,1134374.88,DISTURBANCE,,"70  ",Tuesday,00
2018069941,"4/10/2018 12:27:10 AM","1105 FAY ST","          ",1690802.63,1139396.25,"SUSPICIOUS PERSON",,"20E ",Tuesday,00
2018069937,"4/10/2018 12:21:02 AM","N OLD 63/MCALESTER ST","          ",1694052.38,1138331.63,"TRAFFIC STOP",,"80N ",Tuesday,00
2018069935,"4/10/2018 12:10:14 AM","SMILEY LN/TROPICAL LN","          ",1688997,1150655.25,"TRAFFIC STOP",,"10E ",Tuesday,00
2018069930,"4/9/2018 11:56:06 PM","200 E NIFONG BLVD","          ",1686601.38,1120017,TRAFFIC,2018003759,"60W ",Monday,23
2018069929,"4/9/2018 11:53:25 PM","S HWY 63 NB/GRINDSTONE PKWY","          ",1699156.63,1121303.38,DWI,,"80S ",Monday,23
2018069928,"4/9/2018 11:52:45 PM","E SOUTHAMPTON DR/JOHN GARRY DR","          ",1685726.5,1116622.25,"TRAFFIC STOP",,"60W ",Monday,23
2018069927,"4/9/2018 11:52:12 PM","W WORLEY ST/PENNANT ST","          ",1680522.38,1138466.25,"TRAFFIC STOP",,"20W ",Monday,23
2018069926,"4/9/2018 11:49:49 PM","CONNECTOR/I70 E","          ",1699545.38,1139077.5,TRAFFIC,,"40E ",Monday,23
2018069921,"4/9/2018 11:43:59 PM","4500 BETHEL ST","          ",1684820.38,1117659,"SUSPICIOUS VEHICLE",,"60W ",Monday,23
2018069919,"4/9/2018 11:42:25 PM","S HWY 63 SB/DISCOVERY PKWY OFFR SB","          ",1701454.63,1117041.38,"TRAFFIC STOP",,"80S ",Monday,23
2018069917,"4/9/2018 11:35:45 PM","312 PARK AVE","          ",1687879,1136430,"CIVIL MATTER",,"20E ",Monday,23
2018069915,"4/9/2018 11:32:00 PM","RICHARDSON ST/RIPLEY ST","          ",1692021.5,1136649,"TRAFFIC STOP",,"70  ",Monday,23
